,precision,recall,f1-score,support
Apple___Apple_scab,0.9662921348314607,0.9052631578947369,0.9347826086956522,95.0
Apple___Black_rot,1.0,1.0,1.0,94.0
Apple___Cedar_apple_rust,0.9534883720930233,0.9761904761904762,0.9647058823529412,42.0
Apple___healthy,0.9644268774703557,0.9878542510121457,0.976,247.0
Blueberry___healthy,1.0,0.9823008849557522,0.9910714285714286,226.0
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,159.0
Cherry_(including_sour)___healthy,0.9922480620155039,0.9922480620155039,0.9922480620155039,129.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7840909090909091,0.8846153846153846,0.8313253012048193,78.0
Corn_(maize)___Common_rust_,0.9574468085106383,1.0,0.9782608695652174,180.0
Corn_(maize)___Northern_Leaf_Blight,0.9389312977099237,0.825503355704698,0.8785714285714286,149.0
Corn_(maize)___healthy,1.0,1.0,1.0,175.0
Grape___Black_rot,0.9818181818181818,0.9152542372881356,0.9473684210526315,177.0
Grape___Esca_(Black_Measles),0.9324324324324325,0.9951923076923077,0.9627906976744186,208.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9937106918238994,0.9753086419753086,0.9844236760124611,162.0
Grape___healthy,0.9846153846153847,1.0,0.9922480620155039,64.0
Orange___Haunglongbing_(Citrus_greening),0.9939903846153846,1.0,0.9969861362266426,827.0
Peach___Bacterial_spot,0.9883381924198251,0.9797687861271677,0.9840348330914369,346.0
Peach___healthy,0.8870967741935484,1.0,0.9401709401709402,55.0
"Pepper,_bell___Bacterial_spot",0.9466666666666667,0.9403973509933775,0.9435215946843853,151.0
"Pepper,_bell___healthy",0.9605263157894737,0.9820627802690582,0.9711751662971175,223.0
Potato___Early_blight,0.9487179487179487,0.9866666666666667,0.9673202614379085,150.0
Potato___Late_blight,0.9777777777777777,0.88,0.9263157894736842,150.0
Potato___healthy,0.9473684210526315,0.75,0.8372093023255814,24.0
Raspberry___healthy,1.0,0.9824561403508771,0.9911504424778761,57.0
Soybean___healthy,0.9857142857142858,0.993455497382199,0.9895697522816167,764.0
Squash___Powdery_mildew,0.9963768115942029,0.9963768115942029,0.9963768115942029,276.0
Strawberry___Leaf_scorch,1.0,0.9820359281437125,0.9909365558912386,167.0
Strawberry___healthy,1.0,1.0,1.0,69.0
Tomato___Bacterial_spot,0.9196428571428571,0.965625,0.9420731707317073,320.0
Tomato___Early_blight,0.8125,0.6933333333333334,0.7482014388489209,150.0
Tomato___Late_blight,0.9087719298245615,0.9055944055944056,0.9071803852889667,286.0
Tomato___Leaf_Mold,0.869281045751634,0.9236111111111112,0.8956228956228957,144.0
Tomato___Septoria_leaf_spot,0.8905660377358491,0.8838951310861424,0.8872180451127819,267.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9497716894977168,0.8253968253968254,0.8832271762208068,252.0
Tomato___Target_Spot,0.7468354430379747,0.8349056603773585,0.7884187082405345,212.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9912060301507538,0.9801242236024845,0.985633978763273,805.0
Tomato___Tomato_mosaic_virus,1.0,0.8421052631578947,0.9142857142857143,57.0
Tomato___healthy,0.8726591760299626,0.9748953974895398,0.9209486166007905,239.0
accuracy,0.9553571428571429,0.9553571428571429,0.9553571428571429,0.9553571428571429
macro avg,0.9485081300032834,0.9405904492637056,0.9431940566684481,8176.0
weighted avg,0.95646938177319,0.9553571428571429,0.9551621598753983,8176.0
