Class,AUC Score
Apple___Apple_scab,0.9997577162805541
Apple___Black_rot,1.0
Apple___Cedar_apple_rust,0.9999795098762396
Apple___healthy,0.9999310683939395
Blueberry___healthy,0.9999910947848833
Cherry_(including_sour)___Powdery_mildew,1.0
Cherry_(including_sour)___healthy,0.9999990366673314
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.999084927585792
Corn_(maize)___Common_rust_,1.0
Corn_(maize)___Northern_Leaf_Blight,0.9994163991829589
Corn_(maize)___healthy,1.0
Grape___Black_rot,0.9998982923712922
Grape___Esca_(Black_Measles),0.9999601772474513
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9999838246032406
Grape___healthy,1.0
Orange___Haunglongbing_(Citrus_greening),0.9999980255438681
Peach___Bacterial_spot,0.9999560752700078
Peach___healthy,0.9999820890844163
"Pepper,_bell___Bacterial_spot",0.9996071878030162
"Pepper,_bell___healthy",0.9998691866283924
Potato___Early_blight,0.9999194285239638
Potato___Late_blight,0.9997566243043442
Potato___healthy,0.9939278704612365
Raspberry___healthy,0.9999935174801148
Soybean___healthy,0.999606199653597
Squash___Powdery_mildew,0.9999990827371126
Strawberry___Leaf_scorch,0.9999880374100095
Strawberry___healthy,1.0
Tomato___Bacterial_spot,0.9992971136710794
Tomato___Early_blight,0.9913389816429936
Tomato___Late_blight,0.9988757123738112
Tomato___Leaf_Mold,0.9990454847277557
Tomato___Septoria_leaf_spot,0.9983255221023032
Tomato___Spider_mites Two-spotted_spider_mite,0.9987279953206253
Tomato___Target_Spot,0.9961548667115226
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9998842197599962
Tomato___Tomato_mosaic_virus,0.9998768321221826
Tomato___healthy,0.9997675206898679
